# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
4.472527311357977348e-02, 3.081863063829791693e-01, -9.240857530814770501e-03, 1.106382978723404076e+00, 3.875680585274343670e+00
4.855473683281950892e-02, 3.081863063829792249e-01, -1.064878032969332824e-02, 1.106382978723404076e+00, 3.951584046726686061e+00
5.076454542349724541e-02, 3.081863063829792249e-01, -1.158645683964128377e-02, 1.106382978723404076e+00, 4.000000000000000000e+00
5.079023498642448731e-02, 3.219547276595751129e-01, -1.147332072328387936e-02, 1.127659574468085069e+00, 0.000000000000000000e+00
4.844203154020492591e-02, 3.219547276595751129e-01, -1.128229425684737323e-02, 1.127659574468085069e+00, 4.841595327331393861e-02
4.447651981425959633e-02, 3.219547276595751129e-01, -1.076016797814641213e-02, 1.127659574468085069e+00, 1.243194147256564686e-01
3.799885450277924737e-02, 3.219547276595751129e-01, -9.867023683745947821e-03, 1.127659574468085069e+00, 2.483789085618058612e-01
2.815483632074688991e-02, 3.219547276595751129e-01, -8.418841580630970212e-03, 1.127659574468085069e+00, 4.370901933198670375e-01
1.472506448492093278e-02, 3.219547276595751129e-01, -6.271427504443495213e-03, 1.127659574468085069e+00, 6.949315309392636308e-01
-1.123058003040012598e-03, 3.219547276595751129e-01, -3.442532288427062933e-03, 1.127659574468085069e+00, 1.000000000000000000e+00
-1.688888299296107537e-02, 3.219547276595751129e-01, -1.563049293934860124e-04, 1.127659574468085069e+00, 1.305068469060736591e+00
-3.007383436617237088e-02, 3.219547276595751129e-01, 3.213865946200006145e-03, 1.127659574468085069e+00, 1.562909806680132796e+00
-3.956853756575406250e-02, 3.219547276595751129e-01, 6.181326200410518917e-03, 1.127659574468085069e+00, 1.751621091438194222e+00
-4.575313063637688471e-02, 3.219547276595751129e-01, 8.285204155478686355e-03, 1.127659574468085069e+00, 1.875680585274343448e+00
-4.938543350704915208e-02, 3.219547276595751129e-01, 9.883832357549670808e-03, 1.127659574468085069e+00, 1.951584046726686061e+00
-5.079023195909074251e-02, 3.219547276595751129e-01, 1.147332003942071188e-02, 1.127659574468085069e+00, 2.000000000000000000e+00
-4.968367377001826901e-02, 3.219547276595751129e-01, 1.308712391898358626e-02, 1.127659574468085069e+00, 2.048415953273313939e+00
-4.601798377726098316e-02, 3.219547276595751129e-01, 1.427371102639982819e-02, 1.127659574468085069e+00, 2.124319414725656774e+00
-3.945214070659133071e-02, 3.219547276595751129e-01, 1.458085676991024981e-02, 1.127659574468085069e+00, 2.248378908561805556e+00
-2.938751576548541411e-02, 3.219547276595751129e-01, 1.323770560370066303e-02, 1.127659574468085069e+00, 2.437090193319866760e+00
